course_uuid,course_code,latest_version_uuid
1b31ecbc-75f1-c4a9-0167-806c39b5d2d0,ARST.01.058,36d04ad3-3b10-f4ab-bd3c-ba42304497ba
6ab369aa-aff5-f8d1-76e0-7958b2bcb4fe,AR00.00.057,81f41318-065b-3cd1-eeed-30e6b2d05882
9e7ba471-f29e-602a-64f3-773bcbddf8da,ARSK.01.032,e4227a27-a7fb-3404-659d-49fbc5740478
7ff261b0-c6fc-7790-dc46-192bbf380b7b,SHHI.01.045,857a647a-a2db-71ad-749d-1be08133bd61
ea9f79ab-e6ff-0df4-5409-8ac6cf7cfe31,MJ00.00.024,eb71f786-8e0f-a461-dbf0-f377e197c546
7eafb942-a7a5-60ff-4da5-9d47e6629913,P2VK.04.674,95ae3a4d-e133-3c15-42f5-4e45ad38dd0a
fd196c0a-9873-2d31-5a05-719ecf601d72,MTAT.03.306,a9ba64b0-7d66-cdd2-b076-8d97007b926f
83307d98-41be-8b0d-5559-d8a2de10aa98,ARFA.01.109,69dbbf18-0b2f-25d2-0b8f-099e0c8cccfa
9b9d5350-2a09-60d0-407b-7a1494b409eb,MTMS.02.053,3fd7d7f4-d15c-9158-39d0-aeb8dc7ce8ee
e1e64ce2-c656-2bc8-e99b-2daa44cfd706,HVEE.03.021,480fcea3-0b9b-7ce3-b8f1-269ef04b7566
5c06e3e5-f53a-1374-8f49-d2fb673fc957,LOOM.02.049,c228a479-6e70-9236-bf42-d0e8e6b79737
302955d8-27bb-c3f9-15e1-002822dd2cde,LOOM.00.023,88c71110-dd2e-682b-b017-0f9898286449
78cc8fb7-19f6-0693-5af4-632e0359ad17,LOMR.08.005,cbc44ad1-d12b-17e8-b1a4-2808db758cd3
8a20517c-b2e2-af77-4a94-376436abb11c,OIEO.04.099,60552bda-402b-dfee-b134-619718519583
9bc04763-eaeb-975a-61a0-72824c3af100,LOFY.04.045,6d27c68b-7c1a-b721-c36a-c12c7ba45299
6822db28-ca3a-23a0-bd5f-a336b4bb3e8f,SOSS.01.001,a9991ff7-d455-2239-2b91-14e93008afc1
60defe16-b38e-8ea9-5413-c19f91facfc7,ARFR.02.011,7e49e82e-745e-1098-ec6b-ac88fabc93ff
43bb297a-e259-6a68-8cab-e3edb44c3e32,LOFY.01.021,5ec38738-300f-ed31-9018-cee906c0f07b
0fafd378-8b64-8e04-02ec-1a70c94cc8df,ARSK.01.030,61e9375f-5bb6-7958-0e7d-3c0780826f1a
5a5cdef5-969c-2cdb-a425-4cc9c35e876b,ARSK.03.012,ffc4ab38-d994-2eba-cb09-c06006a247cd
aba409fe-e4eb-7588-d76a-9dd961b8ba8b,ARBK.01.042,1ed4119c-705a-e4ff-c6e3-2a44f645946d
477107c9-b9a9-d65b-3692-b16a9a00c2e2,HVLC.05.070,4f9dca2c-ccd4-062d-e0d6-fb17a3649f19
c2913de8-1870-f0a7-bb4b-f21fad1d00e6,KKSB.02.011,d3abf6ee-acbb-3de6-1ce3-dee6be2f4748
15017ac1-0667-d25f-b62f-48dd50633aef,MV00.00.038,0b2ff700-c884-3163-5257-68915d21e24b
054d602c-3f6f-28b0-79e1-1c60a54f63e8,OIEO.04.100,6bd0439c-b52e-09f1-b28a-d01fbcdfb4de
b0449278-a258-8c63-e1f0-e79f91cde90b,FLAJ.00.045,a9cec99b-4620-ae89-5459-eebf72c74d3f
de528453-da3b-193d-1a73-83e8602ff7e6,ARFA.01.108,c3ba1092-2b91-a082-48f7-8eb7347de802
98dd784a-552a-0610-ff0f-895e256e2dff,SOPH.00.294,2b122da4-47dd-3864-71ee-df919e802509
b7bdfe18-90b6-7ab4-b19e-ab08b023abd5,FLGR.03.290,8bef40ec-9a75-ec45-ac90-910c260d2c68
bd8f2268-d9e5-d8b0-1207-d4059d70f9cc,ARMP.01.030,bd1e0a11-cabd-8cc6-8162-e3c3b2697c8a
8da9339d-3011-5961-9813-4e53a099c30b,KKSB.05.085,a8ccd531-02c8-6a52-bb18-bfa67fece0fa
00785979-39e9-79ed-6036-927b46f47afe,P2OG.02.217,95a29c59-fb9b-c273-c1c0-ddc6b98bcd0a
108fd5ee-e4d2-2568-cedf-f566294a14f8,LOOM.04.078,09bda3ef-4ec5-f39f-44fb-db071ad44128
f17578e3-c2eb-8873-b158-1d97ba607575,MJ00.00.054,ffb4a1cd-2429-3349-f368-3076a28b0273
ba66e15d-191e-3659-c5cb-c0a30a03ab50,FLSE.00.204,7766f888-eb87-8b75-56d6-fb8fa64e2ebd
a0bc8c9b-1177-0a9e-0317-343eaf60b005,LOMR.07.006,595e284e-ef69-b4b5-c819-44d291937e04
537ec97a-8cb7-e6d0-60fb-e978ab380c66,ARST.01.111,3b062242-4849-0ab7-d30a-74be81d1ec67
e2dc6e63-df6c-5035-a957-24980726ca8e,ARTH.03.045,d9de3536-baf5-c689-02f0-660abb75fe6a
8ceb985b-7ed7-d86e-2265-d2ee785798f6,LTAT.01.002,bf743ab1-c8c0-58bf-884f-9399d40d44ca
53ea1d0e-5ca9-e839-4235-b72a15d88fa3,LOTI.05.021,23e33a8f-2112-ce95-d718-5575add368f0
e83a681e-2d88-8786-1226-bf4cd0bafa70,LOKT.01.008,fb243031-03a8-c8d6-7c67-e25e25f4db66
ecb48f9f-0459-215d-ecdf-052629b292dc,MTMS.01.055,c739c6fb-e890-4357-c431-653b4bfbe469
1c8f8cfb-bfab-f407-3647-cb8c40ff7c87,LOKT.01.058,651bb5f3-6357-d62c-90fc-698668d1dabf
0fd097ec-8767-2eb4-27c0-0e0981cd2cbb,MTMS.01.067,b25c8da8-9ef0-8482-3e7f-a1bf5f4e9766
a4a943ab-8772-ecd4-908f-0f17e6844c58,MVFA.00.054,9f3d355e-d1d0-8c55-267a-db83ffe005be
9e41f7a5-e588-259f-8334-327c5351cf07,LTMS.00.080,7561139c-98d9-6872-5376-577ecc496bde
aa05b990-6877-91c8-f9e5-e45e3acb200e,LOMR.01.003,7a289808-0117-b715-7618-6b96695e98f0
c5549c28-327a-6b60-2ab6-c7bf628a52f1,FLKU.05.014,72e7c4b9-26be-8c45-c09c-1817d07706fc
85644a96-5c2e-5cb8-d6c0-ebd0cf3984e0,HVKU.04.050,a9a231bc-4e87-3663-5857-edc5b38993e6
1bb4de90-cd4f-ef32-93a7-a03965ac5d93,ARLA.01.027,25fb4082-0002-faa8-27b6-a3f834d5cabf
47deccc5-de53-4df0-0266-54a1a1338421,KKSP.01.060,4e06b7ea-6eae-409e-c595-a19100b9eb3c
136c8d54-7156-31da-7275-9d141f88e2b2,MJCV.00.005,df0ddf95-a101-1cbe-022d-e985b6c592c7
53afc6b6-33b3-03db-eacf-f134aa27f017,FLAJ.00.057,2b2474ee-ddf4-2655-1358-b28216413f98
e8b1cf2a-52c9-0817-145b-0ae75143312d,P2VK.02.685,74916e3d-dec4-feba-d8c8-d71bd0cacb3c
62948788-221c-0cb0-3ecc-852f8947396e,P2EC.00.210,0212e6d7-b4ab-f6af-0108-43c1969298f6
0939a9db-72e3-a8af-7644-0c5b34438f32,P2VK.02.761,e83546e4-f7d2-509f-af7b-c5eec9d672b9
604e87d7-3e49-6ebe-b184-49b79dc88e34,SHHI.03.037,7587e9a2-fdd6-336d-d979-2b5ed06aad87
c8dc6ad9-a785-6194-ce7c-83bae723b669,OIEO.04.095,2fda74cd-1b00-8041-9b20-e147d7c2a209
0f0ed17f-05f1-2d9d-5730-f94bbeede355,FLFI.02.142,944e8c47-0cf2-7e4a-785c-b6d94f374efb
1d48a54d-409b-a30f-4044-66743db7bb8f,KKSP.05.255,2b1b8b59-0e00-a37f-5b5d-d61bb5b39aed
1351846b-e2a8-aa73-c83c-1215320ee2ef,FLSE.00.069,0105ecd3-4e87-2b8f-c24a-3c8d8de62cf6
e73870e0-c7d9-e5ae-cf3f-5eae22cf5ecf,P2VK.01.160,34ffdbd7-8b4f-f093-d284-2620d2317bfe
d238611d-8521-3f44-614e-8b2d1ebfe53f,FLSE.00.258,863086ec-b8bb-5420-a437-f9112a274eec
5e90ecf0-25ac-5a44-3309-1eacf5153e81,SHHI.03.003,463f7368-2823-13b9-c494-42cf8e7fdc87
3b0ca2e7-c53a-e142-df98-635c2ca44a6a,LOFY.01.099,b6d1f9ef-a4cd-4aa0-f4ba-4ea8983a9240
aec1886f-675d-a41f-6923-feada2d5e275,P2NC.00.783,fdee9b50-3717-475c-1a2d-fe362cb9ce23
a71bc75c-f5ba-b157-7571-879e1e0ace92,P2VK.01.245,61e1897e-9cf8-c7da-b3d5-e492ad1630bf
bd2998eb-be1d-3e46-f80f-4f35adfbe43f,LTAT.03.001,15d3e9b6-ff0b-9ad7-5e65-93ff065a5585
d7718121-1048-43b5-54bb-0998ccdafc61,LTAT.01.004,055fb345-ec45-f537-a4b1-55e94b1c6163
c38f751e-1fba-1582-0c66-0b0c63780dd6,LOKT.10.012,904d8f47-45d1-aa8e-8f0e-9ad91c001116
2c5ef88b-8ad9-3205-d014-e0a034114188,MVFA.00.050,ae0a92d3-caf6-5f63-be15-c3f24bfdf47a
0347c766-dc21-468f-772a-d9e89c4f7f35,ARFS.01.036,d4c9b9ee-6cea-a55b-ed25-749df4ba23c5
2a8b84d0-0470-0652-4009-b47142e0db1c,OIEO.04.005,08dfaf95-66c0-11c9-eb86-4b152066473b
e9ac5177-68e8-02d0-3329-f657a5ebf2a6,MVFA.00.049,99289e0f-8d71-ca6b-a4c1-b5abd31b8cf2
4e522198-f452-ab45-11f6-3ff3ce5c3c60,P2OG.02.014,7574fe6a-18ed-cc01-b171-2e6aa3445d6a
98469628-ae02-bd40-e38b-ca4850ec7627,HTPK.02.107,356ea9bf-5c26-ba58-6dea-7006613df87b
2a44f9ae-8fde-75b2-f25f-ab8e65be5ef5,FLAJ.07.004,4de32718-5a35-4af2-3e46-c30a1becd4a8
67637744-e504-9c14-4f45-5fb9fc82c50a,LOTI.05.010,d672c720-df40-d615-6b1c-1bd3b7f8f112
229fe98d-363c-2560-a0eb-3d973be3bdc3,FLKU.03.027,8fd6aac9-54a6-19c0-879c-3d5d22e713c2
e74302db-10d8-dcd7-9784-0b8ea75cc4e1,KKSP.04.013,28354319-39f0-9b23-652f-dae10e50670e
2e774048-6ab2-5803-1a6a-db34baced8c4,FLEE.04.188,57900376-2db1-322d-95f3-2e126caa0cf3
c8707797-fad1-919a-b45f-8a79490ef9f6,P2VK.01.503,4f18d199-3dd7-0a38-0889-c9503b29793e
